,YearBuilt,YearRemodAdd,OverallCond,OverallQual,ExterCond,KitchenQual,TotalArea
228,2004,2004,5,7,2,3.0,13647.0
229,2003,2003,5,7,2,3.0,11711.0
230,2003,2003,5,7,2,3.0,10863.0
231,2002,2002,5,8,2,3.0,16457.0
232,2004,2004,5,7,2,3.0,11892.0
233,2000,2000,5,6,2,2.0,11207.0
234,1999,2000,5,7,2,2.0,9964.0
235,1999,1999,5,7,2,3.0,20639.0
236,1999,1999,6,7,2,2.0,10072.0
237,2000,2000,5,8,2,3.0,18206.0
238,1994,1995,5,8,2,3.0,16072.0
239,1995,1996,5,7,2,3.0,13766.0
240,1993,1994,5,8,2,3.0,16231.0
241,2008,2008,5,8,2,3.0,15854.0
242,2008,2008,5,8,2,3.0,14536.0
243,2007,2007,5,8,2,3.0,14447.0
244,2006,2006,5,8,2,3.0,13129.0
245,2005,2006,5,9,2,4.0,17237.0
246,2008,2009,5,7,2,3.0,11515.0
247,2008,2008,5,7,2,3.0,12605.0
248,2007,2008,5,9,2,3.0,17210.0
249,2006,2007,5,8,2,3.0,11152.0
250,2006,2006,5,8,2,3.0,14461.0
251,2008,2009,5,8,2,3.0,12489.0
252,2006,2007,5,7,2,4.0,15106.0
253,2003,2004,5,7,2,3.0,12902.0
254,2003,2003,5,7,2,3.0,11265.0
255,2007,2007,6,7,2,3.0,12795.0
256,2006,2006,5,7,2,3.0,10630.0
257,2004,2004,5,6,2,3.0,9866.0
258,2004,2004,5,7,2,3.0,14136.0
259,2004,2004,5,8,2,3.0,14466.0
260,2004,2005,5,7,2,3.0,16474.0
261,2004,2004,5,5,2,3.0,15339.0
262,2003,2004,5,5,2,3.0,15296.0
263,2008,2009,5,7,2,3.0,11109.0
264,1996,1997,5,7,2,3.0,15160.0
265,1992,1992,6,6,3,3.0,11036.0
266,1990,1991,5,6,2,3.0,10441.0
267,1994,1994,5,7,2,3.0,12210.0
268,1986,1986,7,6,3,2.0,12863.0
269,1981,1981,7,6,2,2.0,10744.0
270,1962,1962,5,5,2,2.0,12138.0
271,1961,1961,6,5,2,2.0,11271.0
272,1961,1961,5,5,2,2.0,11563.0
273,1965,1965,5,5,2,2.0,11990.0
274,1963,1995,8,5,3,3.0,9915.0
275,1962,1962,6,5,2,2.0,9226.0
276,1980,1980,8,8,3,3.0,21747.0
277,1991,2008,8,7,3,3.0,16267.0
278,2004,2005,5,7,2,3.0,8142.0
279,2008,2008,5,6,2,3.0,8097.0
280,2008,2008,5,6,2,3.0,7428.0
281,2000,2000,5,6,2,3.0,5738.0
282,1999,1999,5,7,2,3.0,6451.0
283,1977,2008,9,8,4,4.0,20071.0
284,1981,1981,5,7,2,3.0,20131.0
285,1976,1976,5,8,3,2.0,13082.0
286,1974,1974,6,7,2,3.0,16969.0
287,1967,1997,7,6,2,3.0,14775.0
288,1969,1969,5,5,2,2.0,13361.0
289,1969,1969,5,6,2,2.0,11768.0
290,1977,1992,7,7,3,3.0,18360.0
291,1967,1967,6,5,2,2.0,9170.0
292,1967,1967,5,5,2,2.0,13536.0
293,1974,1974,5,7,2,2.0,13597.0
294,1971,1971,5,6,2,2.0,19567.0
295,1960,1960,7,4,2,2.0,9980.0
296,1959,1959,7,5,2,2.0,10161.0
297,1957,1957,5,4,2,2.0,12704.0
298,1956,1956,6,5,3,2.0,16946.0
299,1961,1995,6,5,2,3.0,13079.0
300,1964,1964,5,5,3,2.0,13728.0
301,1965,1965,6,5,3,2.0,12707.0
302,1961,1961,6,6,2,3.0,14797.0
303,1955,1955,5,5,2,2.0,12088.0
304,1967,1967,5,6,2,2.0,14148.0
305,1961,1961,6,6,2,2.0,14346.0
306,1966,2008,8,6,3,3.0,18818.0
307,1956,1956,7,5,2,2.0,11873.0
308,1960,1960,6,7,2,2.0,15587.0
309,1959,1998,8,6,2,3.0,11825.0
310,1956,1956,5,5,2,2.0,11613.0
311,1955,1955,5,5,2,3.0,12424.0
312,1956,1956,5,4,2,2.0,13423.0
313,1958,1958,4,5,2,2.0,13709.0
314,1954,1954,7,6,2,2.0,10549.0
315,1951,1951,5,5,2,2.0,15548.0
316,1945,1950,6,5,3,1.0,10306.0
317,1952,2005,8,5,2,3.0,9918.0
318,1953,1953,5,5,2,2.0,11875.0
319,1948,1999,7,7,2,2.0,14189.0
320,1950,1950,6,5,2,2.0,12498.0
321,1958,1958,5,3,2,2.0,7510.0
322,1939,2006,7,5,3,3.0,14050.0
323,1900,2003,8,4,3,2.0,10150.0
324,1925,1950,7,5,2,4.0,12738.0
325,1915,1950,5,4,2,3.0,13996.0
326,1910,2008,9,7,3,3.0,10186.0
327,1940,1950,5,2,2,3.0,6496.0
328,1920,1950,7,5,2,3.0,12942.0
329,1890,1998,5,3,2,2.0,12505.0
330,1969,1969,5,6,2,2.0,14370.0
331,1963,1963,7,6,2,2.0,13483.0
332,1967,1967,4,6,2,2.0,14216.0
333,1958,2007,9,6,3,3.0,10434.0
334,1957,1957,6,6,2,2.0,12972.0
335,1958,1958,6,6,2,2.0,10778.0
336,1950,1950,5,6,2,2.0,11123.0
337,1958,1958,6,5,2,2.0,9726.0
338,1952,1952,7,5,3,2.0,8972.0
339,1959,1959,5,5,2,2.0,9999.0
340,1949,1996,7,4,2,2.0,13681.0
341,1948,1994,7,6,2,2.0,10964.0
342,1964,1964,5,6,2,2.0,10694.0
343,1978,1978,7,5,3,3.0,11090.0
344,1963,1963,6,6,2,2.0,10290.0
345,1935,1998,8,6,2,3.0,6669.0
346,1910,1950,5,6,2,2.0,13744.0
347,1910,2003,8,5,3,3.0,17678.0
348,1910,2002,8,5,2,2.0,12044.0
349,1939,1950,6,5,2,2.0,9272.0
350,1920,1950,6,4,2,1.0,10076.0
351,1910,1950,5,5,2,2.0,12786.0
352,1950,1970,7,5,4,2.0,8416.0
353,1920,1950,6,4,2,2.0,9542.0
354,1940,1950,4,2,3,2.0,6870.0
355,1923,1950,8,5,2,2.0,10304.0
356,1910,1950,4,4,3,3.0,12667.0
357,1900,1950,7,6,2,4.0,11916.0
358,1917,2007,7,6,2,4.0,5895.0
359,1910,1950,3,4,2,2.0,4773.0
360,1920,1950,6,6,2,2.0,7799.0
361,1910,2002,7,6,2,3.0,12860.0
362,1900,1950,3,3,1,2.0,10564.0
363,1923,1950,6,6,2,3.0,9878.0
364,1930,1982,7,5,2,2.0,7795.0
365,1924,1950,5,5,2,2.0,8028.0
366,1925,1999,6,5,2,2.0,8405.0
367,1938,1950,6,5,2,2.0,9466.0
368,1925,1950,5,5,1,2.0,12068.0
369,1915,1950,6,6,2,2.0,11636.0
370,1915,1994,8,7,3,2.0,12836.0
371,1922,1950,1,5,2,2.0,6224.0
372,1927,1950,5,6,2,2.0,10055.0
373,1915,2002,7,6,2,3.0,8200.0
374,1902,2000,5,7,1,2.0,9026.0
375,1927,1950,6,6,1,2.0,8562.0
376,1923,1950,6,4,3,3.0,7175.0
377,1915,1965,7,6,3,2.0,13017.0
378,1946,2001,9,4,3,1.0,5788.0
379,1987,1988,5,5,3,2.0,13440.0
380,1978,1978,5,5,2,2.0,13103.0
381,1934,1950,3,5,2,2.0,11703.0
382,1967,1967,6,5,2,2.0,14612.0
383,1978,1978,5,6,2,2.0,10008.0
384,1961,1961,5,5,2,2.0,18471.0
385,1960,1960,5,6,2,2.0,18208.0
386,1956,1956,5,5,2,2.0,19106.0
387,1947,1950,2,2,2,1.0,9760.0
388,1954,1954,5,4,2,2.0,17716.0
389,1956,1956,5,5,2,2.0,12057.0
390,1946,1950,7,6,2,3.0,12026.0
391,1954,1954,6,5,2,2.0,10526.0
392,1984,1984,5,5,2,3.0,6704.0
393,1990,1991,6,7,2,3.0,13619.0
394,1983,1983,5,6,2,3.0,21689.0
395,1993,1994,5,7,3,3.0,15035.0
396,1880,2007,7,5,2,2.0,28992.0
397,1979,1979,5,5,2,2.0,10112.0
398,1979,1979,5,5,2,2.0,8953.0
399,1979,1979,5,5,2,3.0,10275.0
400,1979,1979,5,5,2,2.0,8920.0
401,2000,2000,5,7,2,2.0,17254.0
402,2000,2000,5,7,2,2.0,13338.0
403,2000,2000,5,7,2,2.0,13375.0
404,2009,2009,5,9,2,4.0,15700.0
405,2008,2008,5,9,2,4.0,15622.0
406,2008,2008,5,8,2,3.0,13544.0
407,2007,2008,5,8,2,3.0,16152.0
408,2007,2007,5,7,2,3.0,10332.0
409,2008,2008,5,8,2,3.0,14070.0
410,2005,2006,5,8,2,3.0,15871.0
411,2005,2006,5,6,2,3.0,14312.0
412,1992,1993,5,7,2,3.0,20924.0
413,1994,1994,7,5,3,2.0,12401.0
414,1998,1998,5,7,2,2.0,18299.0
415,1998,1998,5,6,2,2.0,12338.0
416,2002,2001,5,7,2,3.0,14519.0
417,2001,2001,5,7,2,3.0,15040.0
418,1978,1978,5,5,2,2.0,18570.0
419,1979,1979,7,5,2,2.0,9222.0
420,2002,2002,5,7,2,3.0,16692.0
421,2003,2003,5,8,2,3.0,16672.0
422,2002,2002,5,7,2,3.0,11912.0
423,2001,2001,5,7,2,3.0,15227.0
424,1999,2000,5,8,2,3.0,19550.0
425,2002,2003,5,8,2,3.0,17487.0
426,1997,1998,5,7,2,3.0,12332.0
427,2007,2007,5,8,2,3.0,14433.0
428,2007,2007,5,6,2,3.0,13749.0
429,1960,1971,6,4,2,2.0,13629.0
430,2005,2006,5,6,2,2.0,5847.0
431,1959,1959,5,4,2,2.0,8482.0
432,1950,1950,5,5,2,2.0,14660.0
433,1959,1959,5,5,2,2.0,14282.0
434,1956,1956,5,5,2,2.0,14790.0
435,1941,1950,6,5,2,2.0,10654.0
436,1938,1950,4,5,2,2.0,8705.0
437,1935,1950,6,6,2,2.0,8466.0
438,1916,2000,8,6,2,3.0,11242.0
439,1918,1990,8,7,2,2.0,9506.0
440,1940,1950,6,5,2,2.0,16698.0
441,1960,1960,4,5,2,2.0,18614.0
442,1940,1950,6,7,2,2.0,12002.0
443,1954,1954,6,5,3,2.0,11714.0
444,1960,1960,6,6,2,2.0,17192.0
445,1949,2005,7,5,2,1.0,18566.0
446,1954,1954,5,6,2,2.0,21493.0
447,1980,1980,6,6,2,2.0,4291.0
448,1980,1992,6,6,3,3.0,4092.0
449,1980,1980,6,6,2,2.0,4172.0
450,1986,1986,6,6,3,2.0,17574.0
451,1971,2009,9,7,3,4.0,22860.0
452,1900,1993,6,5,2,3.0,13024.0
453,1925,1950,6,4,2,2.0,11616.0
454,2007,2008,5,8,2,4.0,8099.0
455,1910,1950,4,2,1,2.0,23132.0
456,2000,2001,5,8,2,3.0,14437.0
457,1977,1977,6,6,2,2.0,12567.0
458,1977,1977,7,6,2,2.0,12908.0
459,1991,1991,5,5,2,2.0,14919.0
460,2008,2008,5,9,2,4.0,18778.0
461,2008,2008,5,9,2,4.0,18725.0
462,1980,2006,8,6,3,3.0,13862.0
463,1987,1989,5,7,2,3.0,18807.0
464,2003,2003,5,7,2,3.0,12931.0
465,2007,2007,5,9,2,4.0,18177.0
466,1968,1968,7,5,2,3.0,15206.0
467,1969,2000,5,5,2,2.0,16495.0
468,1972,1972,8,5,2,2.0,9893.0
469,1993,1996,5,6,3,2.0,10170.0
470,1992,1993,6,5,2,2.0,10310.0
471,1992,1992,5,5,2,2.0,13080.0
472,1969,1969,7,5,4,2.0,14312.0
473,1997,1998,5,6,2,2.0,11738.0
474,1995,1996,5,6,2,2.0,11142.0
475,1998,1998,5,6,2,2.0,12819.0
476,1996,1996,5,6,2,2.0,18396.0
477,1996,1997,5,5,2,3.0,17312.0
478,1997,1997,5,8,2,3.0,10138.0
479,1992,1992,5,8,2,3.0,8362.0
480,1998,1998,5,6,2,2.0,14248.0
481,1991,1991,5,6,2,3.0,17068.0
482,1989,1989,5,8,2,3.0,9313.0
483,2005,2005,5,8,2,4.0,18310.0
484,2004,2004,5,9,2,4.0,20343.0
485,1952,1952,2,6,2,2.0,34965.0
486,2007,2007,5,9,2,4.0,12455.0
487,1950,1950,5,6,2,2.0,51174.0
488,1988,1988,6,7,2,4.0,16760.0
489,1983,1983,7,7,2,2.0,14247.0
490,1978,1978,5,7,3,3.0,23621.0
491,1979,1979,5,7,2,3.0,19499.0
492,1976,1976,5,6,2,3.0,16125.0
493,1980,1988,6,7,2,2.0,13800.0
494,1969,1969,6,5,2,2.0,12255.0
495,1978,1978,7,7,2,3.0,18309.0
496,1976,1976,5,6,2,2.0,13785.0
497,1996,1996,5,8,2,3.0,19456.0
498,1974,1974,5,5,2,2.0,12213.0
499,1969,1969,6,4,2,2.0,12487.0
500,1971,1971,5,5,2,2.0,9864.0
501,1973,1973,5,6,2,2.0,3518.0
502,1972,1972,6,6,2,2.0,4534.0
503,1972,1972,5,5,2,2.0,3876.0
504,1975,1975,6,6,2,2.0,5079.0
505,1977,1977,6,7,2,2.0,5117.0
506,2007,2007,5,8,2,3.0,17286.0
507,2007,2007,5,8,2,4.0,20019.0
508,2007,2007,5,9,2,4.0,19543.0
509,2006,2006,5,9,2,4.0,19472.0
510,2005,2006,5,10,2,4.0,18551.0
511,2005,2005,5,9,2,4.0,17346.0
512,2007,2007,5,8,2,3.0,12815.0
513,2004,2004,5,8,2,4.0,15400.0
514,2003,2003,5,10,2,4.0,19247.0
515,2003,2004,5,8,2,3.0,15215.0
516,2001,2002,5,8,2,3.0,21834.0
517,2003,2003,5,8,2,3.0,22295.0
518,2008,2008,5,9,2,4.0,14752.0
519,2005,2005,5,7,2,3.0,15555.0
520,2007,2008,5,9,2,4.0,13196.0
521,2006,2007,5,8,2,3.0,9509.0
522,2006,2007,5,8,2,3.0,9509.0
523,2003,2004,5,7,2,3.0,5339.0
524,2003,2003,5,7,2,3.0,7930.0
525,2004,2004,5,7,2,3.0,7883.0
526,2007,2008,5,7,2,3.0,6754.0
527,2004,2004,5,6,2,3.0,11796.0
528,2002,2003,5,7,2,3.0,11294.0
529,2003,2003,5,7,2,3.0,11951.0
530,2007,2008,6,7,2,3.0,10903.0
531,2000,2001,5,7,2,2.0,11741.0
532,2002,2002,5,7,2,3.0,10509.0
533,1999,2000,5,7,2,2.0,16551.0
534,1999,1999,5,7,2,2.0,11425.0
535,1997,1997,5,8,2,3.0,13679.0
536,2000,2000,5,9,2,4.0,15855.0
537,1998,1998,5,8,2,3.0,16922.0
538,1996,1997,5,7,2,3.0,15091.0
539,1995,1995,7,8,2,3.0,16894.0
540,1993,1994,5,7,2,3.0,14939.0
541,2006,2006,5,7,2,3.0,17077.0
542,2007,2007,5,8,2,3.0,14202.0
543,2007,2008,5,8,2,3.0,13581.0
544,2006,2007,5,8,2,3.0,13457.0
545,2007,2008,5,8,2,3.0,12460.0
546,2007,2007,5,8,2,3.0,14991.0
547,2007,2008,5,7,2,3.0,10902.0
548,2003,2003,5,6,2,3.0,13535.0
549,2003,2004,5,7,2,3.0,16154.0
550,2005,2006,5,6,2,3.0,15512.0
551,2007,2007,5,7,2,3.0,12099.0
552,1995,1995,5,6,2,3.0,11411.0
553,1993,1994,5,6,2,3.0,11904.0
554,1994,1995,5,7,2,3.0,17899.0
555,2001,2001,5,6,2,3.0,11649.0
556,1992,1992,5,7,2,3.0,11833.0
557,1963,1963,5,5,2,2.0,11798.0
558,1961,2007,8,5,3,3.0,10512.0
559,1968,1968,5,5,2,2.0,10538.0
560,1963,1963,5,5,2,2.0,8364.0
561,1974,1974,5,6,2,2.0,23359.0
562,1972,1972,4,5,3,2.0,13983.0
563,1990,1991,5,6,2,3.0,14212.0
564,1993,1994,5,9,2,3.0,16932.0
565,2004,2005,5,7,2,3.0,6510.0
566,2005,2005,5,6,2,3.0,5626.0
567,2007,2007,5,7,2,3.0,5903.0
568,1999,1999,5,6,2,2.0,5045.0
569,2000,2000,5,9,2,4.0,9040.0
570,2001,2001,5,9,2,3.0,8302.0
571,2001,2001,5,9,2,4.0,8179.0
572,1999,2000,5,9,2,4.0,8068.0
573,1999,2000,5,7,2,3.0,4738.0
574,2001,2001,5,7,2,2.0,13839.0
575,1999,1999,5,8,2,3.0,6009.0
576,1999,2000,5,8,2,3.0,6030.0
577,1998,1999,5,10,2,4.0,8344.0
578,1995,1995,5,8,2,3.0,14378.0
579,1977,1977,3,9,3,3.0,29740.0
580,1976,2007,9,8,4,4.0,20577.0
581,2002,2002,5,7,2,2.0,11133.0
582,1969,1969,6,6,2,2.0,14690.0
583,1968,1968,5,6,2,2.0,15284.0
584,1967,1967,7,7,2,3.0,19459.0
585,1965,1965,6,5,2,2.0,13484.0
586,1968,1968,6,5,2,2.0,11520.0
587,1965,2005,7,5,2,2.0,11004.0
588,1965,1965,5,5,2,2.0,15104.0
589,1971,1971,6,7,2,2.0,16314.0
590,1956,1956,5,5,2,2.0,9306.0
591,1961,1961,5,5,3,2.0,12743.0
592,1960,2000,7,5,2,3.0,14412.0
593,1937,1950,7,4,2,2.0,6367.0
594,1960,1960,6,5,1,3.0,12864.0
595,1950,2006,8,5,3,3.0,11965.0
596,1953,1953,5,5,2,2.0,10232.0
597,1966,1999,7,6,3,3.0,18472.0
598,1957,1957,4,5,2,2.0,11683.0
599,1959,1998,7,5,2,3.0,13564.0
600,1958,1958,6,6,2,2.0,17586.0
601,1956,1958,5,5,2,2.0,13017.0
602,1952,1952,6,5,2,3.0,13398.0
603,1953,1953,6,5,2,2.0,12313.0
